from;message;date;time
Ani; Apakah Foundation Manggis cocok untuk kulit berminyak?;01/06/2024;10:52
Bot; Ya, Foundation Manggis cocok untuk kulit berminyak karena formulanya yang ringan dan dapat mengontrol minyak.;01/06/2024;10:53
Budi; Saya ingin membeli Loose Powder Kedondong untuk kulit sensitif.;02/06/2024;10:54
Bot; Loose Powder Kedondong sangat cocok untuk kulit sensitif karena tidak mengandung bahan kimia yang keras.;02/06/2024;10:55
Cici; Apakah Concealer Kemangi bisa digunakan sebagai base eyeshadow?;03/06/2024;10:56
Bot; Ya, Concealer Kemangi bisa digunakan sebagai base eyeshadow untuk membantu warna eyeshadow lebih keluar dan tahan lama.;03/06/2024;10:57
Dedi; Saya mencari Lipstick Durian dengan hasil akhir satin.;04/06/2024;10:58
Bot; Lipstick Durian dengan hasil akhir satin akan memberikan tampilan yang lembut dan berkilau. Kami memiliki beberapa pilihan warna yang dapat Anda pilih.;04/06/2024;10:59
Eka; Bagaimana cara menggunakan Highlighter Durian agar terlihat natural?;05/06/2024;11:00
Bot; Untuk tampilan natural, aplikasikan Highlighter Durian di titik-titik tinggi wajah seperti tulang pipi, tulang alis, dan cuping hidung dengan kuas atau jari.;05/06/2024;11:01
Fani; Apakah Blush On Jeruk mudah dibaurkan?;06/06/2024;11:02
Bot; Ya, Blush On Jeruk memiliki tekstur yang mudah dibaurkan sehingga Anda bisa mendapatkan tampilan yang merata dan alami.;06/06/2024;11:03
Gani; Saya ingin memesan Foundation Jeruk dengan SPF 30.;07/06/2024;11:04
Bot; Foundation Jeruk dengan SPF 30 tersedia dan siap untuk dipesan. Silakan konfirmasi pesanan Anda.;07/06/2024;11:05
Hani; Apakah Loose Powder Kedondong dapat digunakan untuk baking makeup?;08/06/2024;11:06
Bot; Ya, Loose Powder Kedondong sangat baik untuk teknik baking karena mampu memberikan hasil akhir yang halus dan tahan lama.;08/06/2024;11:07
Intan; Saya mencari Concealer Kemangi yang cocok untuk semua jenis kulit.;09/06/2024;11:08
Bot; Concealer Kemangi diformulasikan untuk cocok dengan semua jenis kulit, memberikan hasil yang natural dan menutupi dengan baik.;09/06/2024;11:09
Joko; Apakah Lipstick Lengkeng tersedia dalam warna pink?;10/06/2024;11:10
Bot; Ya, kami memiliki Lipstick Lengkeng dalam berbagai pilihan warna pink yang menarik.;10/06/2024;11:11
Kiki; Bagaimana cara membersihkan makeup waterproof dengan aman?;11/06/2024;11:12
Bot; Untuk membersihkan makeup waterproof, gunakan pembersih berbasis minyak atau micellar water. Usap lembut dan bilas dengan air hangat.;11/06/2024;11:13
Lina; Saya ingin mencoba Highlighter Durian dalam warna silver.;12/06/2024;11:14
Bot; Highlighter Durian dalam warna silver akan memberikan kilau yang menawan. Anda bisa memesannya sekarang.;12/06/2024;11:15
